name,year,match_method,omdb_title,omdb_year,Plot,Genre_full,Actors_full,Writer_full,Director_full,imdbRating_omdb
The Shining,1980,exact,The Shining,1980,"Haunted by a persistent writer's block, the aspiring author and recovering alcoholic, Jack Torrance, drags his wife, Wendy, and his gifted son, Danny, up snow-capped Colorado's secluded Overlook Hotel after taking up a job as an off-season caretaker. As the cavernous hotel shuts down for the season, the manager gives Jack a grand tour, and the facility's chef, the ageing Mr Hallorann, has a fascinating chat with Danny about a rare psychic gift called ""The Shining"", making sure to warn him about the hotel's abandoned rooms, and, in particular, the off-limits Room 237. However, instead of overcoming the dismal creative rut, little by little, Jack starts losing his mind, trapped in an unforgiving environment of seemingly endless snowstorms, and a gargantuan silent prison riddled with strange occurrences and eerie visions. Now, the incessant voices inside Jack's head demand sacrifice. Is Jack capable of murder?","Drama, Horror","Jack Nicholson, Shelley Duvall, Danny Lloyd","Stephen King, Stanley Kubrick, Diane Johnson",Stanley Kubrick,8.4
The Blue Lagoon,1980,exact,The Blue Lagoon,1980,"On a journey to San Francisco, Richard, his father and cousin Emmeline find themselves on a ship about to explode. Rushed to a lifeboat with Paddy Button, the two children escape while their father (and uncle) are on another lifeboat. In the chaos following, the lifeboats are separated. Paddy, Richard and Emmeline find themselves with no food and no water stuck in the middle of nowhere. After some time, the three come across an uncharted paradise, where Paddy quickly teaches the children fishing, hunting and building. After maybe a month or two, Paddy gets very drunk off a barrel of rum found on the island when they first arrive, and drowns in the middle of the night. Emmeline and Richard, now alone and very scared, move location and rebuild their island home. Many years later, the two young teenagers have developed a very real home, but hormones and feelings between the two strain their friendship, until Richard, who is still very determined to reach San Francisco, is let down by Emmeline when a ship passes by the island and she does not light the signal fire. Throwing her out of the home they had built together, Emmeline attempts to survive on her own but is hurt. After Richard finds her dying, he realizes how he really feels for her and manages to save her. Nature runs its course and their friendship turns into love as the couple learn about the facts of life, when Emmeline has a baby and does not understand why.","Adventure, Drama, Romance","Brooke Shields, Christopher Atkins, Leo McKern","Henry De Vere Stacpoole, Douglas Day Stewart",Randal Kleiser,5.8
Star Wars: Episode V - The Empire Strikes Back,1980,exact,Star Wars: Episode V - The Empire Strikes Back,1980,"Luke Skywalker, Han Solo, Princess Leia and Chewbacca face attack by the Imperial forces and its AT-AT walkers on the ice planet Hoth. While Han and Leia escape in the Millennium Falcon, Luke travels to Dagobah in search of Yoda. Only with the Jedi Master's help will Luke survive when the Dark Side of the Force beckons him into the ultimate duel with Darth Vader.","Action, Adventure, Fantasy","Mark Hamill, Harrison Ford, Carrie Fisher","Leigh Brackett, Lawrence Kasdan, George Lucas",Irvin Kershner,8.7
Airplane!,1980,exact,Airplane!,1980,"Drowning his sorrows after that botched mission during WWII, the traumatised former fighter pilot with a fear of flying, Ted Striker, still hasn't got over his old flame and flight attendant, Elaine Dickinson. Determined to win her back, Ted boards a domestic flight from Los Angeles to Chicago, only to come face-to-face with a severe case of in-flight food poisoning that is threatening everyone's lives. Now, with most of the passengers and the entire cockpit crew down with the food-borne illness, Striker has no other choice but to confront his inner demons and take over the control of the ungovernable aircraft with the help of a gruff air-traffic controller and his former commander. Can Ted land the plane and save them all?",Comedy,"Robert Hays, Julie Hagerty, Leslie Nielsen","Jim Abrahams, David Zucker, Jerry Zucker","Jim Abrahams, David Zucker, Jerry Zucker",7.7
Caddyshack,1980,exact,Caddyshack,1980,"There's something fishy going on at the elitist Bushwood Country Club, and the scheming president of the clubhouse, Judge Elihu Smails, has something to do with it. But, the suave golf guru, Ty Webb, and the distasteful, filthy rich construction magnate, Al Czervik, are onto him. In the meantime, the young caddie, Danny Noonan, struggles to get his life back on track, and the only way to do it is by winning the demanding Caddie Day golf tournament; a prestigious competition that can earn him a scholarship from the judge himself. Now, war breaks out, and all bets are off. Will Danny ever make his dream come true? Does he know that a subterranean menace is threatening to put in jeopardy everyone's plans?","Comedy, Sport","Chevy Chase, Rodney Dangerfield, Bill Murray","Brian Doyle-Murray, Harold Ramis, Douglas Kenney",Harold Ramis,7.2
Friday the 13th,1980,exact,Friday the 13th,1980,"In 1957, a young boy named Jason drowns in a lake near Camp Crystal Lake. The next year, two counselors are murdered. In 1980, a descendant of the original owners reopens Camp Crystal Lake with some counselors' help. The counselors gets killed one by one by a mysterious person. Could it be Jason, out for revenge?","Horror, Mystery, Thriller","Betsy Palmer, Adrienne King, Jeannine Taylor","Victor Miller, Ron Kurz",Sean S. Cunningham,6.4
The Blues Brothers,1980,exact,The Blues Brothers,1980,"After the release of Jake Blues from prison, he and brother Elwood go to visit ""The Penguin"", the last of the nuns who raised them in an orphanage. They learn the Archdiocese will stop supporting the school and will sell the place to the Education Authority. The only way to keep the place open is if the $5000 tax on the property is paid within 11 days. The Blues Brothers want to help, and decide to put their blues band back together and raise the money by staging a big gig. As they set off on their ""mission from God"" they seem to make more enemies along the way. Will they manage to come up with the money in time?","Adventure, Comedy, Crime","John Belushi, Dan Aykroyd, Cab Calloway","Dan Aykroyd, John Landis",John Landis,7.9
Raging Bull,1980,exact,Raging Bull,1980,"When Jake LaMotta steps into a boxing ring and obliterates his opponent, he's a prizefighter. But when he treats his family and friends the same way, he's a ticking time bomb, ready to go off at any moment. Though LaMotta wants his family's love, something always seems to come between them. Perhaps it's his violent bouts of paranoia and jealousy. This kind of rage helped make him a champ, but in real life, he winds up in the ring alone.","Biography, Drama, Sport","Robert De Niro, Cathy Moriarty, Joe Pesci","Jake LaMotta, Joseph Carter, Peter Savage",Martin Scorsese,8.1
Superman II,1980,exact,Superman II,1980,"Picking up where ""Superman: The Movie"" left off, three criminals, General Zod (Terence Stamp), Ursa, (Sarah Douglas), and Non (Jack O'Halloran) from the planet Krypton are released from the Phantom Zone by a nuclear explosion in space. They descend upon Earth where they could finally rule. Superman, meanwhile, is in love with Lois Lane (Margot Kidder), who finds out who he really is. Lex Luthor (Gene Hackman) escapes from prison and is determined to destroy Superman by joining forces with the three criminals.","Action, Adventure, Sci-Fi","Gene Hackman, Christopher Reeve, Margot Kidder","Jerry Siegel, Joe Shuster, Mario Puzo","Richard Lester, Richard Donner",6.8
The Long Riders,1980,exact,The Long Riders,1980,"After the American Civil War, outlaw Jesse James forms a gang comprised of himself, his brother Frank James, Cole Younger and his two brothers, Jim Younger and Bob Younger as well as Ed Miller and his brother Clell Miller. The gang is led by Jesse James and Cole Younger. The gang starts by robbing small banks and stagecoaches in the Midwest and in their home state of Missouri. Later, the gang targets bigger prizes, such as larger banks and trains. This criminal activity attracts the attention of the railroad company owners who hire the Pinkerton Detective Agency to capture the gang. When the gang kills a few Pinkerton detectives, a war of sorts starts between the Pinkerton Agency and the James-Younger gang. Sometimes caught in the middle of it are innocent civilians. In 1876, the gang is running out of banks to rob in Missouri and decides to raid a supposedly fat bank, far up North, in the state of Minnesota. But the Pinkerton Detective Agency is setting up a trap there.","Biography, Crime, Drama","David Carradine, Stacy Keach, Dennis Quaid","Bill Bryden, Steven Smith, Stacy Keach",Walter Hill,6.9
