name,year,lead_actor,director,imdb_rating,genre,plot
The Godfather Part II,1974,Al Pacino,Francis Ford Coppola,9.0,"Crime, Drama","The continuing saga of the Corleone crime family tells the story of a young Vito Corleone growing up in Sicily and in 1910s New York; and follows Michael Corleone in the 1950s as he attempts to expand the family business into Las Vegas, Hollywood and Cuba."
Inception,2010,Leonardo DiCaprio,Christopher Nolan,8.8,"Action, Adventure, Sci-Fi","Dom Cobb is a skilled thief, the absolute best in the dangerous art of extraction, stealing valuable secrets from deep within the subconscious during the dream state, when the mind is at its most vulnerable. Cobb's rare ability has made him a coveted player in this treacherous new world of corporate espionage, but it has also made him an international fugitive and cost him everything he has ever loved. Now Cobb is being offered a chance at redemption. One last job could give him his life back but only if he can accomplish the impossible, inception. Instead of the perfect heist, Cobb and his team of specialists have to pull off the reverse: their task is not to steal an idea, but to plant one. If they succeed, it could be the perfect crime. But no amount of careful planning or expertise can prepare the team for the dangerous enemy that seems to predict their every move. An enemy that only Cobb could have seen coming."
Superman,2025,David Corenswet,James Gunn,7.0,"Action, Adventure, Sci-Fi","Set within a new DC universe. A few years into his heroics, Superman embarks on a personal quest to understand his Kryptonian heritage and mix it with his upbringing as mild mannered Clark Kent. But things get complicated when ruthless industrialist Lex Luthor frames Superman for an international incident and plans to put himself on top by bringing Superman down. Now with aid from Lois Lane, Jimmy Olsen and the Justice Gang, Superman must embrace his lineage and fully become the hero we deserve in order to stop Luthor's plot and save the world."
Superman 1978: The Birth of the Superhero Movie,2025,Shane Montgomery,Brian Montgomery,N/A,Documentary,"Director Richard Donner reworked Superman (1978) from campy to serious, enlisting Tom Mankiewicz for a grounded rewrite. Marlon Brando's wild ideas nearly derailed things, but his eventual buy-in boosted morale. Despite chaos, the..."
Superman 1978: The Birth of the Superhero Movie,2025,Shane Montgomery,Brian Montgomery,N/A,Documentary,"Director Richard Donner reworked Superman (1978) from campy to serious, enlisting Tom Mankiewicz for a grounded rewrite. Marlon Brando's wild ideas nearly derailed things, but his eventual buy-in boosted morale. Despite chaos, the..."
Bane v Superman: The Movie,2016,Keith Stahle,Keith Stahle,8.5,"Short, Action, Adventure","The Joker and Harley have neutralized Superman's powers. Bane and Superman must now fight to the death as Clark's high-school sweet-heart, Lana Lang, is captivated."
Saw,2004,Cary Elwes,James Wan,7.6,"Horror, Mystery, Thriller","Waking up in a bathroom, two men, Adam and Dr. Lawrence Gordon, discover they have been captured by the infamous man known as Jigsaw. The men must escape before time runs out, otherwise, they will face the deadly consequences."
Matrix,2020,Chris Harvey,Kim Harrington,7.0,"Documentary, Sci-Fi","Welcome to the matrix, is it illusion or is it reality? Find out in this powerful new documentary that explores the ultimate questions of life: where do we come from and what is the nature of reality itself. Plug into the Matrix: Are We Living In A Simulation."
Gangs of New York,2002,Leonardo DiCaprio,Martin Scorsese,7.5,"Crime, Drama","In the god-forsaken district of early-1860s Lower Manhattan known as the Five Points, the vicious Nativist, Bill ""The Butcher"" Cutting, is the supreme overlord of an area riddled with crime, prostitution, theft and murder, as the American Civil War still rages on. Sixteen whole years after the brutal murder of his father from Bill's blood-stained hands, an orphaned Irish-American, Amsterdam Vallon, returns to this melting pot of corruption to avenge his untimely death; however, a lot has changed since then. Who can remember the once-innocent boy and now a young man bent on revenge, who works his way up to the hierarchy of Five Points? Will Amsterdam ever taste the dangerous but sweet fruit of retribution?"
Serpico,1973,Al Pacino,Sidney Lumet,7.7,"Biography, Crime, Drama","Serpico is a cop in the 1960s-early 1970s. Unlike all his colleagues, he refuses a share of the money that the cops routinely extort from local criminals. Nobody wants to work with Serpico, and he's in constant danger of being placed in life threatening positions by his ""partners"". Nothing seems to get done even when he goes to the highest of authorities. Despite the dangers he finds himself in, he still refuses to 'go with the flow', in the hope that one day, the truth will be known."
The Exorcist,1973,Ellen Burstyn,William Friedkin,8.1,Horror,"A visiting actress in Washington, D.C., notices dramatic and dangerous changes in the behavior and physical make-up of her 12-year-old daughter. Meanwhile, a young priest at nearby Georgetown University begins to doubt his faith while dealing with his mother's terminal sickness. And, book-ending the story, a frail, elderly priest recognizes the necessity for a show-down with an old demonic enemy."
