name,year,reason
Indiana Jones and the Raiders of the Lost Ark,1981,no match found
Friday the 13th Part III,1982,no match found
Otac na sluzbenom putu,1985,no match found
Bal na vodi,1985,no match found
Friday the 13th Part VII: the New Blood,1988,no match found
Roger Corman's Frankenstein Unbound,1990,no match found
The Beautiful Troublemaker,1991,no match found
"Mon père, ce héros.",1991,no match found
Como agua para chocolate,1992,no match found
Un Coeur en Hiver,1992,no match found
Qing shao nian nuo zha,1992,no match found
Ruby Cairo,1992,no match found
Mi vida loca,1993,no match found
Caro diario,1993,no match found
Jung on zo,1993,no match found
Interview with the Vampire: the Vampire Chronicles,1994,no match found
Pred dozhdot,1994,no match found
Al di là delle nuvole,1995,no match found
To vlemma tou Odyssea,1995,no match found
La fille seule,1995,no match found
"Crna macka, beli macor",1998,no match found
Godzilla 2000: Millennium,1999,no match found
La fille sur le pont,1999,no match found
La Ciénaga,2001,no match found
Peter Pan 2: Return to Never Land,2002,no match found
Spy Kids 3-D: Game Over,2003,no match found
